episode,reward,score,steps,epsilon,loss_mean,ma100_reward
120,1.59,3,45,0.5507,0.016313,-0.5066
121,0.79,2,24,0.548,0.012886,-0.4859
122,-0.05,1,7,0.5452,0.012103,-0.476
123,-1.12,0,13,0.5425,0.013994,-0.4751
124,-0.07,1,9,0.5398,0.011305,-0.4646
125,-0.48,1,50,0.5371,0.012345,-0.4581
126,0.72,2,31,0.5344,0.011326,-0.4457
127,-1.07,0,8,0.5318,0.012019,-0.4432
128,-1.13,0,14,0.5291,0.011428,-0.444
129,-0.05,1,7,0.5264,0.010797,-0.4335
130,0.7,2,33,0.5238,0.012279,-0.4088
131,-0.22,1,24,0.5212,0.011474,-0.4004
132,-0.1,1,12,0.5186,0.010391,-0.3905
133,1.51,3,53,0.516,0.012151,-0.3647
134,-0.06,1,8,0.5134,0.015869,-0.3546
135,-0.2,1,22,0.5108,0.012626,-0.3565
136,-0.07,1,9,0.5083,0.010187,-0.3463
137,1.77,3,27,0.5058,0.012988,-0.318
138,0.64,2,39,0.5032,0.013355,-0.3006
139,-0.04,1,6,0.5007,0.017475,-0.2904
140,-0.08,1,10,0.4982,0.012417,-0.2794
141,-0.12,1,14,0.4957,0.011651,-0.2796
142,-1.16,0,17,0.4932,0.01277,-0.2803
143,-0.11,1,13,0.4908,0.013816,-0.2701
144,-1.08,0,9,0.4883,0.013853,-0.2668
145,-1.25,0,26,0.4859,0.014591,-0.2679
146,0.85,2,18,0.4834,0.015913,-0.2485
147,-1.13,0,14,0.481,0.01361,-0.2481
148,1.61,3,43,0.4786,0.014363,-0.2213
149,-1.04,0,5,0.4762,0.013099,-0.22
150,0.92,2,11,0.4738,0.014217,-0.218
151,-0.24,1,26,0.4715,0.013501,-0.2085
152,-1.22,0,23,0.4691,0.01413,-0.2202
153,2.76,4,29,0.4668,0.015,-0.1905
154,1.66,3,38,0.4644,0.01426,-0.1624
155,-0.13,1,15,0.4621,0.014542,-0.1522
156,-0.15,1,17,0.4598,0.013247,-0.1529
157,-0.07,1,9,0.4575,0.014019,-0.1514
158,4.87,7,121,0.4552,0.014003,-0.0909
159,0.93,2,10,0.4529,0.012791,-0.0804
160,-1.11,0,12,0.4507,0.014379,-0.0807
161,6.51,8,58,0.4484,0.014634,-0.0051
162,-1.06,0,7,0.4462,0.017574,-0.005
163,1.68,3,36,0.444,0.018618,0.0237
164,1.6,3,44,0.4417,0.021447,0.0513
165,2.76,4,29,0.4395,0.0188,0.0894
166,0.66,2,37,0.4373,0.019114,0.1071
167,-1.1,0,11,0.4351,0.019771,0.0967
168,0.62,2,41,0.433,0.01946,0.1038
169,0.58,2,45,0.4308,0.018649,0.1217
170,-0.14,1,16,0.4286,0.018798,0.1316
171,0.91,2,12,0.4265,0.016279,0.1426
172,-1.04,0,5,0.4244,0.022348,0.1326
173,4.42,6,65,0.4223,0.019323,0.1773
174,-0.09,1,11,0.4201,0.017976,0.1789
175,-0.13,1,15,0.418,0.01882,0.188
176,-0.12,1,14,0.4159,0.019544,0.1792
177,3.41,5,65,0.4139,0.020163,0.2073
178,1.44,3,60,0.4118,0.019104,0.2337
179,-0.1,1,12,0.4097,0.018908,0.2335
180,1.41,3,63,0.4077,0.020445,0.2484
181,3.37,5,69,0.4057,0.018427,0.2928
182,-1.05,0,6,0.4036,0.01684,0.2929
183,-1.13,0,14,0.4016,0.018907,0.284
184,-1.06,0,7,0.3996,0.019999,0.265
185,3.41,5,65,0.3976,0.017962,0.3005
186,1.47,3,57,0.3956,0.019756,0.3169
187,1.76,3,28,0.3936,0.019219,0.3479
188,-0.11,1,13,0.3917,0.017577,0.3278
189,1.56,3,48,0.3897,0.020291,0.3446
190,-1.28,0,29,0.3878,0.019885,0.3425
191,-0.06,1,8,0.3858,0.021814,0.3532
192,0.79,2,24,0.3839,0.016996,0.3438
193,1.68,3,36,0.382,0.017749,0.3724
194,-0.31,1,33,0.3801,0.019227,0.3697
195,-0.14,1,16,0.3782,0.024486,0.3692
196,8.35,10,76,0.3763,0.018433,0.4636
197,2.62,4,43,0.3744,0.017181,0.4915
198,-0.11,1,13,0.3725,0.018936,0.5029
199,3.5,5,56,0.3707,0.019516,0.5037
200,2.51,4,54,0.3688,0.018513,0.5308
201,1.62,3,42,0.367,0.019376,0.5495
202,-0.17,1,19,0.3651,0.019107,0.5495
203,1.85,3,19,0.3633,0.019617,0.57
204,1.75,3,29,0.3615,0.018132,0.5982
205,1.89,3,15,0.3597,0.019779,0.6296
206,-1.08,0,9,0.3579,0.018254,0.612
207,4.39,6,68,0.3561,0.019796,0.6579
208,0.66,2,37,0.3543,0.019008,0.6555
209,0.8,2,23,0.3525,0.021562,0.6649
210,4.46,6,61,0.3508,0.018815,0.7126
211,-1.06,0,7,0.349,0.017845,0.7043
212,-0.05,1,7,0.3473,0.019274,0.7152
213,0.63,2,40,0.3455,0.018888,0.7222
214,0.9,2,13,0.3438,0.018519,0.7317
215,1.72,3,32,0.3421,0.018196,0.7448
216,1.77,3,27,0.3404,0.019797,0.7644
217,-0.08,1,10,0.3387,0.017851,0.7655
218,2.7,4,35,0.337,0.019307,0.7738
219,0.74,2,29,0.3353,0.021068,0.792
220,-0.06,1,8,0.3336,0.019145,0.7755
221,2.6,4,45,0.332,0.018654,0.7936
222,3.73,5,33,0.3303,0.020233,0.8314
223,5.53,7,55,0.3286,0.017624,0.8979
224,-0.06,1,8,0.327,0.021447,0.898
225,-1.06,0,7,0.3254,0.015828,0.8922
226,2.6,4,45,0.3237,0.018498,0.911
227,3.39,5,67,0.3221,0.020186,0.9556
228,0.84,2,19,0.3205,0.018549,0.9753
229,0.88,2,15,0.3189,0.016868,0.9846
230,1.79,3,25,0.3173,0.017238,0.9955
231,0.73,2,30,0.3157,0.017981,1.005
232,4.66,6,41,0.3141,0.017699,1.0526
233,4.48,6,59,0.3126,0.018893,1.0823
234,4.58,6,49,0.311,0.019507,1.1287
235,3.73,5,33,0.3095,0.019621,1.168
236,1.89,3,15,0.3079,0.019059,1.1876
237,1.79,3,25,0.3064,0.018037,1.1878
238,1.85,3,19,0.3048,0.01753,1.1999
239,3.72,5,34,0.3033,0.018269,1.2375
240,6.47,8,62,0.3018,0.018257,1.303
241,-0.23,1,25,0.3003,0.019046,1.3019
242,-0.06,1,8,0.2988,0.024368,1.3129
243,1.76,3,28,0.2973,0.019847,1.3316
244,-0.12,1,14,0.2958,0.020399,1.3412
245,-1.09,0,10,0.2943,0.01546,1.3428
246,0.83,2,20,0.2929,0.018008,1.3426
247,-0.33,1,35,0.2914,0.016593,1.3506
248,-0.11,1,13,0.2899,0.018437,1.3334
249,2.76,4,29,0.2885,0.017956,1.3714
250,1.66,3,38,0.287,0.018476,1.3788
251,-0.2,1,22,0.2856,0.018815,1.3792
252,9.22,11,90,0.2842,0.017705,1.4836
253,-0.1,1,12,0.2828,0.017861,1.455
254,7.42,9,68,0.2813,0.01838,1.5126
255,1.74,3,30,0.2799,0.018499,1.5313
