episode,reward,score,steps,epsilon,loss_mean,ma100_reward
116,-0.9693,0,8,0.7944,0.024713,-1.5283
117,0.081,0,53,0.7928,0.022962,-1.5003
118,-1.008,0,16,0.7912,0.020746,-1.5036
119,-2.8005,0,155,0.7896,0.022611,-1.486
120,-2.7697,0,60,0.788,0.020337,-1.4904
121,-0.2372,0,72,0.7864,0.020087,-1.4681
122,-1.6691,0,132,0.7849,0.020403,-1.4617
123,-2.4346,0,63,0.7833,0.025557,-1.4646
124,-1.9847,0,70,0.7817,0.024835,-1.4745
125,-1.167,0,87,0.7802,0.026585,-1.4749
126,-0.686,0,24,0.7786,0.020755,-1.4648
127,-1.1911,0,110,0.777,0.02442,-1.4631
128,-1.0742,0,9,0.7755,0.028131,-1.462
129,-1.3118,0,121,0.7739,0.025119,-1.4633
130,-1.4756,0,72,0.7724,0.030228,-1.4398
131,-2.9623,0,50,0.7709,0.028382,-1.4592
132,-1.1811,0,85,0.7693,0.029373,-1.4528
133,-1.0,0,1,0.7678,0.015679,-1.4528
134,-0.1552,0,38,0.7662,0.032099,-1.4444
135,-2.0788,0,198,0.7647,0.025878,-1.4526
136,-1.347,0,59,0.7632,0.029482,-1.4601
137,-3.2533,0,117,0.7616,0.029998,-1.4987
138,-1.0048,0,21,0.7601,0.028825,-1.5051
139,-1.0593,0,8,0.7586,0.062228,-1.4642
140,-1.3272,0,127,0.7571,0.03155,-1.4573
141,-0.7257,0,233,0.7556,0.026931,-1.4373
142,-0.8636,0,14,0.7541,0.031634,-1.4347
143,-2.8026,0,48,0.7526,0.031489,-1.4531
144,-1.5059,0,32,0.751,0.03068,-1.4575
145,-1.4043,0,167,0.7495,0.033184,-1.469
146,-1.0206,0,11,0.748,0.03497,-1.4407
147,-0.2252,0,52,0.7466,0.034389,-1.4203
148,-1.4808,0,62,0.7451,0.032039,-1.4243
149,-1.2803,0,38,0.7436,0.030903,-1.4271
150,-0.9197,0,68,0.7421,0.034768,-1.4259
151,-1.0437,0,10,0.7406,0.020551,-1.4215
152,-0.7647,0,281,0.7391,0.033356,-1.4222
153,-0.7996,0,45,0.7376,0.031326,-1.4184
154,0.1843,0,75,0.7362,0.027192,-1.4032
155,-0.4197,0,195,0.7347,0.035068,-1.3987
156,-1.0332,0,4,0.7332,0.039745,-1.399
157,-3.2676,0,57,0.7318,0.03715,-1.4253
158,-0.32,0,215,0.7303,0.034922,-1.4119
159,-0.2048,0,60,0.7288,0.032364,-1.3929
160,-1.898,0,333,0.7274,0.039005,-1.37
161,-1.1807,0,169,0.7259,0.033943,-1.3571
162,-1.0,0,1,0.7245,0.02332,-1.348
163,0.0519,0,79,0.723,0.030176,-1.3378
164,-1.1715,0,44,0.7216,0.039022,-1.3362
165,-1.8778,0,38,0.7201,0.039256,-1.3427
166,-1.3821,0,20,0.7187,0.043915,-1.327
167,-1.9082,0,24,0.7172,0.041252,-1.3346
168,-1.1966,0,83,0.7158,0.037014,-1.3425
169,-0.192,0,43,0.7144,0.039062,-1.3292
170,0.279,0,101,0.713,0.040146,-1.3071
171,-0.853,0,53,0.7115,0.038848,-1.2958
172,-1.02,0,3,0.7101,0.03303,-1.2962
